File,Club,Pitch,Code,Latitude,Longitude,Province,Country,Division,County,Directions,Twitter,Elevation,annual_rainfall,rain_days,crest_url
Ireland,Aghamore GAA,Aghamore Pitch,,53.8271,-8.819872,Connacht,Ireland,Mayo,Mayo,"https://maps.google.com/?daddr=53.8271,-8.819872",https://twitter.com/AghamoreGAA,144,1223.8,277,https://www.oneills.com/media/catalog/category/AghamoreconBanner2022.png
Ireland,Aghinagh,,,51.938635,-8.90606,Munster,Ireland,Cork,Cork,"https://maps.google.com/?daddr=51.938635,-8.90606",https://twitter.com/aghinaghgaa,175,1397.8,245,
Ireland,Ahane,Mackey Park,,52.691457,-8.516196,Munster,Ireland,Limerick,Limerick,"https://maps.google.com/?daddr=52.691457,-8.516196",https://twitter.com/ahanegaaclub,29,1166.5,263,https://www.oneills.com/media/catalog/category/ahane-gaa.png
Ireland,Ahascragh/Fohenagh,Ahascragh,,53.399613,-8.324904,Connacht,Ireland,Galway,Galway,"https://maps.google.com/?daddr=53.399613,-8.324904",https://twitter.com/AhasFohGAA,71,1051.1,268,
Ireland,Aherlow,Lisvernane,,52.411051,-8.225701,Munster,Ireland,Tipperary,Tipperary,"https://maps.google.com/?daddr=52.411051,-8.225701",https://twitter.com/aherlowgaa,102,1066.6,249,https://www.oneills.com/media/catalog/category/AHERLOW-LGFA-ICON.png
Middle East,Al Ain,Al Ain Amblers Rugby Club,,24.173781,55.654968,Abu Dhabi,UAE,Abu Dhabi,UAE,"https://maps.google.com/?daddr=24.173781,55.654968",,237,88.34203297,20,https://www.oneills.com/media/catalog/category/Raleigh-CuChulainns.png
USA,Albany Rebels Gaelic Football,Plumeri Sports Complex,,42.637747,-73.775607,Northeast Division,United States,New York,Northeast Division,"https://maps.google.com/?daddr=42.637747,-73.775607",https://twitter.com/albanyrebels,63,1013.151515,203,https://www.oneills.com/media/catalog/category/Scartaglen-Ladies-Football-Club-banner-Icon.png
Ireland,"All Saints GAA, Ballymena",Slemish Park,,54.86743,-6.227189,Ulster,United Kingdom,Antrim,Antrim,"https://maps.google.com/?daddr=54.86743,-6.227189",https://twitter.com/allsaintsgac,73,1036.64011,295,https://www.oneills.com/media/catalog/category/Ballyduff-Upper-Ladies-Icon.png
Ireland,"Allen Gaels GAA, Drumshanbo",Shane McGettigan Park,,54.044811,-8.031519,Connacht,Ireland,Leitrim,Leitrim,"https://maps.google.com/?daddr=54.044811,-8.031519",https://twitter.com/allengaels,84,1233.6,277,https://www.oneills.com/media/catalog/category/clodiagh-gaels_1.png
Ireland,Allenwood,,,53.290002,-6.873511,Leinster,Ireland,Kildare,Kildare,"https://maps.google.com/?daddr=53.290002,-6.873511",https://twitter.com/allenwood_gfc,84,866.9,251,https://www.oneills.com/media/catalog/category/Allenwood-GFC.png
Europe,Amsterdam GAC,Stichting Sportpark de Eendracht,,52.3793727,4.7869126,Amsterdam,Netherlands,Amsterdam,Netherlands,"https://maps.google.com/?daddr=52.3793727,4.7869126",https://twitter.com/amsterdamgac,-3,1056.695055,238,https://www.oneills.com/media/catalog/category/Saul-GAC.png
Europe,An Craobh Rua,Vrije Universiteit Brussel,,50.823465,4.3944281,Brussels,Belgium,Brussels,Belgium,"https://maps.google.com/?daddr=50.823465,4.3944281",https://twitter.com/belgiumgaa,87,1054.087912,247,https://www.oneills.com/media/catalog/category/Sliabh-Rua-Icon-png.png
Ireland,An Ghaeltacht ,Gallarus,,52.181509,-10.364593,Munster,Ireland,Kerry,Kerry,"https://maps.google.com/?daddr=52.181509,-10.364593",https://twitter.com/anghaeltacht,0,1800.9,295,https://www.oneills.com/media/catalog/category/anghaeltacht-01_1.png
Ireland,"An RÃ­ocht GAA, Greencastle","PÃ¡irc na Rochta, Dunavil",,54.049279,-6.035741,Ulster,United Kingdom,Down,Down,"https://maps.google.com/?daddr=54.049279,-6.035741",,27,955.918956,277,
Ireland,An Tochar GAA,,,53.059263,-6.229983,Leinster,Ireland,Wicklow,Wicklow,"https://maps.google.com/?daddr=53.059263,-6.229983",https://twitter.com/antochargaa,236,1110.7,246,https://www.oneills.com/media/catalog/category/Icon-png-antochar.png
Australasia,Angry Leprechauns,"St. Mary's Park, Adelaide",,-35.0076443,138.579166,South Australia,Australia,Adelaide,Adelaide,"https://maps.google.com/?daddr=-35.0076443,138.579166",,59,669.5343407,146,
Europe,Anjou Gaels,Stade Paul Robin,,47.475502,-0.5960351,Angers,France,Angers,France,"https://maps.google.com/?daddr=47.475502,-0.5960351",,51,954.9162088,235,https://www.oneills.com/media/catalog/category/Wandsworth-Gaels-Icon-banner.png
Ireland,Annaclone GAA,Gaelic Park,,54.294965,-6.179847,Ulster,United Kingdom,Down,Down,"https://maps.google.com/?daddr=54.294965,-6.179847",https://twitter.com/annaclonegac,100,1020.796703,276,https://www.oneills.com/media/catalog/category/annaclone-gaa.png
Ireland,Annacurra GAA,,,52.841607,-6.353948,Leinster,Ireland,Wicklow,Wicklow,"https://maps.google.com/?daddr=52.841607,-6.353948",https://twitter.com/annacurragaa,79,1095.5,246,https://www.oneills.com/media/catalog/category/annacurraghccIconBanner2023.png
Ireland,Annaduff GAA,Stanley Cox Park,,53.894162,-7.951299,Connacht,Ireland,Leitrim,Leitrim,"https://maps.google.com/?daddr=53.894162,-7.951299",https://twitter.com/annaduffgaa,74,1025.8,266,https://www.oneills.com/media/catalog/category/annaduff-gaa_1.png
Ireland,Annaghminnon Rovers GAA,PÃ¡irc Annaghminnon,,53.96569,-6.601979,Leinster,Ireland,Louth,Louth,"https://maps.google.com/?daddr=53.96569,-6.601979",,42,838.2,243,https://www.oneills.com/media/catalog/category/Courcey-Rovers-Icon.png
Ireland,Annanough,PÃ¡irc Ãnach na nEach,,53.051735,-7.091181,Leinster,Ireland,Laois,Laois,"https://maps.google.com/?daddr=53.051735,-7.091181",https://twitter.com/annanoughgaa,65,831.7,246,https://www.oneills.com/media/catalog/category/annanough-gaa_1.png
Ireland,Annascaul,,,52.153066,-10.047685,Munster,Ireland,Kerry,Kerry,"https://maps.google.com/?daddr=52.153066,-10.047685",https://twitter.com/annascaulgaa,50,1813.9,285,https://www.oneills.com/media/catalog/category/Annascaul_GAA_1.png
Ireland,Antrim GAA,Casement Park,,54.573306,-5.983986,Ulster,United Kingdom,Antrim,Antrim,"https://maps.google.com/?daddr=54.573306,-5.983986",,22,981.9,260,https://www.oneills.com/media/catalog/category/antrim-camogie-IconBanner2025.png
Ireland,Aodh Ruadh GAA,Father Tierney Park,,54.498144,-8.191869,Ulster,Ireland,Donegal,Donegal,"https://maps.google.com/?daddr=54.498144,-8.191869",https://twitter.com/aodhruadh,21,1394.6,285,https://www.oneills.com/media/catalog/category/NaomhAodhan-Banner.png
Middle East,Arabian Celts,Bahrain Rugby Club,,26.192135,50.4707328,Manama,Bahrain,Manama,Bahrain,"https://maps.google.com/?daddr=26.192135,50.4707328",,6,129.8557692,35,https://www.oneills.com/media/catalog/category/east-celts-brisbane.png
Ireland,Araglen,,,52.206653,-8.085511,Munster,Ireland,Cork,Cork,"https://maps.google.com/?daddr=52.206653,-8.085511",https://twitter.com/araglengaa,106,1263.4,259,https://www.oneills.com/media/catalog/category/araglen-icon.png
Ireland,Ardagh GAA,Ardagh,,54.12397,-9.252555,Connacht,Ireland,Mayo,Mayo,"https://maps.google.com/?daddr=54.12397,-9.252555",https://twitter.com/ardagh_gaa,21,1225.1,286,https://www.oneills.com/media/catalog/category/Ardagh-GAA_1.png
Ireland,Ardagh Moydow,Keenan Park,Football,53.669649,-7.705963,Leinster,Ireland,Longford,Longford,"https://maps.google.com/?daddr=53.669649,-7.705963",https://twitter.com/ardaghgfc,103,969.8,271,
Ireland,Ardagh Moydow,Moydow,Football,53.666695,-7.779911,Leinster,Ireland,Longford,Longford,"https://maps.google.com/?daddr=53.666695,-7.779911",https://twitter.com/moydowgaa,83,969.8,271,
Ireland,Ardara GAA,Pearse Park,,54.769722,-8.416487,Ulster,Ireland,Donegal,Donegal,"https://maps.google.com/?daddr=54.769722,-8.416487",https://twitter.com/ardaragaa,6,1596.273352,309,https://www.oneills.com/media/catalog/category/ARDARA-GAA-ICON.png
Ireland,Ardclough,,,53.297487,-6.56542,Leinster,Ireland,Kildare,Kildare,"https://maps.google.com/?daddr=53.297487,-6.56542",,70,833.8,251,
Ireland,Ardfert,,,52.331234,-9.778167,Munster,Ireland,Kerry,Kerry,"https://maps.google.com/?daddr=52.331234,-9.778167",https://twitter.com/ardfertgaakerry,10,1396.4,280,https://www.oneills.com/media/catalog/category/Ardfert-GAA-Icon.png
Ireland,Ardfinnan,,,52.318382,-7.864478,Munster,Ireland,Tipperary,Tipperary,"https://maps.google.com/?daddr=52.318382,-7.864478",https://twitter.com/ardfinnangaa,60,1039.4,248,https://www.oneills.com/media/catalog/category/ardfinnangaa-62_1.png
Ireland,Ardglass GAA,Ardtole Park,,54.268025,-5.5938,Ulster,United Kingdom,Down,Down,"https://maps.google.com/?daddr=54.268025,-5.5938",https://twitter.com/ardglassgac,17,840.1016484,242,https://www.oneills.com/media/catalog/category/Ardglass-GAC-Icon.png
Ireland,Ardmore,,,51.958355,-7.727697,Munster,Ireland,Waterford,Waterford,"https://maps.google.com/?daddr=51.958355,-7.727697",https://twitter.com/ardmoregaa,16,1233,248,https://www.oneills.com/media/catalog/category/St-Marys-Ardmore-Icon-png.png
Ireland,Ardnaree Sarsfields,Sean Duffy Park,,54.111776,-9.142244,Connacht,Ireland,Mayo,Mayo,"https://maps.google.com/?daddr=54.111776,-9.142244",https://twitter.com/ardnareesarsgaa,20,1268.4,293,https://www.oneills.com/media/catalog/category/legansarsfields-36.png
Ireland,Ardrahan,,,53.15673,-8.80274,Connacht,Ireland,Galway,Galway,"https://maps.google.com/?daddr=53.15673,-8.80274",,35,1158,275,https://www.oneills.com/media/catalog/category/Ardrahan-GAAIconBannerTemplate2021.png
Ireland,Argideen Rangers,Timoleague,,51.638653,-8.776489,Munster,Ireland,Cork,Cork,"https://maps.google.com/?daddr=51.638653,-8.776489",https://twitter.com/argideenrangers,23,1449.2,256,https://www.oneills.com/media/catalog/category/BARROW-RANGERS-CC-BANNER-IMAGE.png
USA,Arizona Gaels,Palo Verde Park,,33.3579927,-111.8745303,Southwest Division,United States,Phoenix,Southwest Division,"https://maps.google.com/?daddr=33.3579927,-111.8745303",,361,111.7121212,49,https://www.oneills.com/media/catalog/category/WashingtonDCGaels-Banner.png
Ireland,Arklow Geraldines Ballymoney GAA,Ballymoney Pitch,,52.8209621,-6.1781371,Leinster,Ireland,Wicklow,Wicklow,"https://maps.google.com/?daddr=52.8209621,-6.1781371",https://twitter.com/agbarklow,59,1095.5,246,https://www.oneills.com/media/catalog/category/GERALDINES-PNG-2.png
Ireland,Arklow Geraldines Ballymoney GAA,Pearse's Park,,52.801196,-6.169578,Leinster,Ireland,Wicklow,Wicklow,"https://maps.google.com/?daddr=52.801196,-6.169578",https://twitter.com/agbarklow,7,1095.5,246,https://www.oneills.com/media/catalog/category/GERALDINES-PNG-2.png
Ireland,Arklow Rock Parnells GAA,,,52.790124,-6.17628,Leinster,Ireland,Wicklow,Wicklow,"https://maps.google.com/?daddr=52.790124,-6.17628",,39,1052.9,238,https://www.oneills.com/media/catalog/category/MontrealShamrocks-Banner.png
Ireland,Arles-Kilcruise,,,52.894883,-7.025899,Leinster,Ireland,Laois,Laois,"https://maps.google.com/?daddr=52.894883,-7.025899",,123,934.8,261,https://www.oneills.com/media/catalog/category/arles-kilcruise_1.png
Ireland,Arles-Killeen,Rossena,,52.892833,-6.99585,Leinster,Ireland,Laois,Laois,"https://maps.google.com/?daddr=52.892833,-6.99585",https://twitter.com/arleskilleengfc,65,897.6,252,
Ireland,Armagh GAA,Athletic Grounds,,54.343541,-6.662385,Ulster,United Kingdom,Armagh,Armagh,"https://maps.google.com/?daddr=54.343541,-6.662385",,42,872.7,254,https://www.oneills.com/media/catalog/category/ARMAGH-LGFA-ICON.png
Ireland,Armagh Harps,Abbey Park,,54.358832,-6.661491,Ulster,United Kingdom,Armagh,Armagh,"https://maps.google.com/?daddr=54.358832,-6.661491",https://twitter.com/ArmaghHarpsGFC,54,871.7884615,277,https://www.oneills.com/media/catalog/category/Silverbridge-Harps-Banner-Icon.png
Ireland,Arranmore GAA,Gairmscoil McDiarmada,,54.98566,-8.492488,Ulster,Ireland,Donegal,Donegal,"https://maps.google.com/?daddr=54.98566, -8.492488",https://twitter.com/ArranmoreGAA,0,1828.710165,308,
Ireland,Arravale Rovers,Sean Treacy Park,,52.469007,-8.158535,Munster,Ireland,Tipperary,Tipperary,"https://maps.google.com/?daddr=52.469007,-8.158535",https://twitter.com/arravalerovers,97,1076.7,249,https://www.oneills.com/media/catalog/category/Arravale-Rovers-Banner-Icon.png
Ireland,"Art McMurrough's GAA, Belnaleck",Belnaleck GAA Grounds,,54.290111,-7.672727,Ulster,United Kingdom,Fermanagh,Fermanagh,"https://maps.google.com/?daddr=54.290111,-7.672727",https://twitter.com/belnaleckgac,51,1098.108516,296,https://www.oneills.com/media/catalog/category/EIRE-OG-ANNACARTY-DONOHILL-CAMOGIE-CLUB-CREST.PNG
Ireland,Asca,Presentation College,,52.838715,-6.907458,Leinster,Ireland,Carlow,Carlow,"https://maps.google.com/?daddr=52.838715,-6.907458",https://twitter.com/ascajuve,57,877.2,242,https://www.oneills.com/media/catalog/category/Ballinascarthy-GAA-ICON.png
Ireland,Asdee,,,52.540838,-9.55145,Munster,Ireland,Kerry,Kerry,"https://maps.google.com/?daddr=52.540838,-9.55145",https://twitter.com/asdee_gaa,69,1269.2,277,https://www.oneills.com/media/catalog/category/Asdee-GAA.png
Ireland,Ashford GAA,,,53.012328,-6.109534,Leinster,Ireland,Wicklow,Wicklow,"https://maps.google.com/?daddr=53.012328,-6.109534",https://twitter.com/ashfordgaa1884,24,1110.7,246,
Ireland,Askamore-Kilrush,,,52.643043,-6.555793,Leinster,Ireland,Wexford,Wexford,"https://maps.google.com/?daddr=52.643043,-6.555793",https://twitter.com/kilaskgaa,89,1065.1,252,
Ireland,Askeaton,,,52.599325,-8.967631,Munster,Ireland,Limerick,Limerick,"https://maps.google.com/?daddr=52.599325,-8.967631",,15,1067,254,https://www.oneills.com/media/catalog/category/Askeaton-Ballysteen-KilcornanIconBanner2023.png
Ireland,Athea,PÃ¡irc na nGael,,52.463088,-9.272761,Munster,Ireland,Limerick,Limerick,"https://maps.google.com/?daddr=52.463088,-9.272761",https://twitter.com/atheagaa,114,1208.2,271,
Ireland,Athgarvan,,,53.148899,-6.800989,Leinster,Ireland,Kildare,Kildare,"https://maps.google.com/?daddr=53.148899,-6.800989",https://twitter.com/athgarvan_gaa,111,862,263,
Ireland,Athleague GAA,Athleague GAA Pitch,,53.574515,-8.26749,Connacht,Ireland,Roscommon,Roscommon,"https://maps.google.com/?daddr=53.574515,-8.26749",https://twitter.com/athleaguegaa,53,1032.6,263,https://www.oneills.com/media/catalog/category/Athleague-Banner-Icon.png
Ireland,Athlone,PÃ¡irc ChiarÃ¡n,,53.428458,-7.926838,Leinster,Ireland,Westmeath,Westmeath,"https://maps.google.com/?daddr=53.428458,-7.926838",https://twitter.com/athlonegaa,43,961.1,262,https://www.oneills.com/media/catalog/category/athlonegaaIconBanner2024.png
Ireland,Athy,,,52.992993,-6.969735,Leinster,Ireland,Kildare,Kildare,"https://maps.google.com/?daddr=52.992993,-6.969735",https://twitter.com/athygfc,65,904.2,245,https://www.oneills.com/media/catalog/category/St-Nathy-Ladies-Icon-png.png
USA,Atlanta GAA,Hammond Park,,33.9188567,-84.364296,Southeast Division,United States,Georgia,Southeast Division,"https://maps.google.com/?daddr=33.9188567,-84.364296",,325,1165.084022,169,https://www.oneills.com/media/catalog/category/clannangaelatlanta-38.png
Ireland,Atticall GAA,Holy Cross Park,,54.10535,-6.062063,Ulster,United Kingdom,Down,Down,"https://maps.google.com/?daddr=54.10535,-6.062063",https://twitter.com/atticallgac,112,1184.144231,283,
Ireland,Aughavas GAA,PÃ¡irc Achadh an Mheasa,,53.959397,-7.723816,Connacht,Ireland,Leitrim,Leitrim,"https://maps.google.com/?daddr=53.959397,-7.723816",https://twitter.com/gaaaughavas,66,1051.3,268,https://www.oneills.com/media/catalog/category/Aughavas-GAA-THUMB.png
Ireland,Aughawillan GAA,,,54.091455,-7.758502,Connacht,Ireland,Leitrim,Leitrim,"https://maps.google.com/?daddr=54.091455,-7.758502",https://twitter.com/AughawillanGAA,60,1155.9,264,https://www.oneills.com/media/catalog/category/aughawillangaa.png
Ireland,Aughlisnafin GAA,Annsborough,,54.262246,-5.91886,Ulster,United Kingdom,Down,Down,"https://maps.google.com/?daddr=54.262246,-5.91886",https://twitter.com/AughlisnafinGAC,28,1235.585165,278,https://www.oneills.com/media/catalog/category/Aughlisnafin-GAC.png
Ireland,Aughnamullen Sarsfields,PÃ¡irc ShÃ¡irsÃ©il,,54.06228,-6.81379,Ulster,Ireland,Monaghan,Monaghan,"https://maps.google.com/?daddr=54.06228,-6.81379",https://twitter.com/aughnamullengaa,164,949.1,258,https://www.oneills.com/media/catalog/category/Sarsfields-GFC-Wexford-Banner-Icon.png
Ireland,Aughnasheelin GAA,,,54.064787,-7.864618,Connacht,Ireland,Leitrim,Leitrim,"https://maps.google.com/?daddr=54.064787,-7.864618",https://twitter.com/aughnasheelingc,78,1354.6,286,https://www.oneills.com/media/catalog/category/aughnasheelin-gaa.png
Ireland,Aughrim GAA,,,52.852554,-6.335164,Leinster,Ireland,Wicklow,Wicklow,"https://maps.google.com/?daddr=52.852554,-6.335164",,71,1095.5,246,https://www.oneills.com/media/catalog/category/AughrimCamogie-Banner.png
USA,Austin Celtic Cowboys,Zilker Park,,30.2664611,-97.7683151,Southwest Division,United States,Texas,Southwest Division,"https://maps.google.com/?daddr=30.2664611,-97.7683151",https://twitter.com/celticcowboys,144,1230.341598,186,https://www.oneills.com/media/catalog/category/AUSTIN-STACKS-ICON.png
Ireland,Austin Stacks,Connolly Park,,52.276604,-9.712997,Munster,Ireland,Kerry,Kerry,"https://maps.google.com/?daddr=52.276604,-9.712997",https://twitter.com/austinstacksgaa,7,1354.5,277,
Ireland,Avoca GAA,,,52.853743,-6.215919,Leinster,Ireland,Wicklow,Wicklow,"https://maps.google.com/?daddr=52.853743,-6.215919",https://twitter.com/GaaAvoca,24,1095.5,246,https://www.oneills.com/media/catalog/category/avoca-gaa.png
Ireland,Avondale GAA,,,52.923067,-6.241915,Leinster,Ireland,Wicklow,Wicklow,"https://maps.google.com/?daddr=52.923067,-6.241915",https://twitter.com/avondale_gaa,150,1164.5,252,https://www.oneills.com/media/catalog/category/Avondale-Camogie-Banner-Icon.png
Europe,Azur Gaels,"Stade des Bouillides, Valbonne",,43.6196508,7.0435807,Valbonne,France,Valbonne,France,"https://maps.google.com/?daddr=43.6196508,7.0435807",,153,1096.90522,153,https://www.oneills.com/media/catalog/category/Western-Gaels-GAA-Wicklow.png
Ireland,Bailieborough Shamrocks,St. Ann's Park,,53.925765,-6.969827,Ulster,Ireland,Cavan,Cavan,"https://maps.google.com/?daddr=53.925765,-6.969827",https://twitter.com/BailieboroS,135,988.7087912,286,https://www.oneills.com/media/catalog/category/Shamrocks-Camogie-Club-Crest_3.png
Ireland,Balla GAA,P W Nally Park,,53.80312,-9.14206,Connacht,Ireland,Mayo,Mayo,"https://maps.google.com/?daddr=53.80312,-9.14206",https://twitter.com/ballagaaclub,49,1225.9,275,https://www.oneills.com/media/catalog/category/Oulart-The-Ballagh-GAA-Club1.png
Ireland,Ballaghaderreen GAA,Ballaghaderreen GAA Park,,53.8989268,-8.5958359,Connacht,Ireland,Mayo,Mayo,"https://maps.google.com/?daddr=53.8989268,-8.5958359",https://twitter.com/ballagh_gaa,86,1128.8,273,https://www.oneills.com/media/catalog/category/ballaghaderreengaa-01_1.png
Ireland,Ballela GAA,Hillen's Meadow,,54.354679,-6.148469,Ulster,United Kingdom,Down,Down,"https://maps.google.com/?daddr=54.354679,-6.148469",https://twitter.com/ballelagac,140,953.6126374,276,https://www.oneills.com/media/catalog/category/Ballela-GAC.png
Ireland,Ballina,Ballina,,52.815314,-8.440019,Munster,Ireland,Tipperary,Tipperary,"https://maps.google.com/?daddr=52.815314,-8.440019",https://twitter.com/ballinagaa,63,1106.4,263,https://www.oneills.com/media/catalog/category/BallinaGAAClubIconBanner2023.png
Ireland,Ballina Stephenites GAA,James Stephens Park,,54.11122,-9.16223,Connacht,Ireland,Mayo,Mayo,"https://maps.google.com/?daddr=54.11122,-9.16223",https://twitter.com/NaStiofanaigh,15,1268.4,293,https://www.oneills.com/media/catalog/category/Ballinacor_GFCSSSIconBanner2024.png
Ireland,Ballinabrackey GAA,,,53.396387,-7.108494,Leinster,Ireland,Meath,Meath,"https://maps.google.com/?daddr=53.396387,-7.108494",https://twitter.com/ballinabrackey1,72,851.4,255,https://www.oneills.com/media/catalog/category/ballinabrackeygaa-01_1.png
Ireland,Ballinabranna,PÃ¡irc Liam Dobbs,,52.786211,-6.985106,Leinster,Ireland,Carlow,Carlow,"https://maps.google.com/?daddr=52.786211,-6.985106",https://twitter.com/ballinabrannagc,91,878,245,
Ireland,Ballinacor GAA,,,52.946562,-6.33326,Leinster,Ireland,Wicklow,Wicklow,"https://maps.google.com/?daddr=52.946562,-6.33326",,134,1016.2,239,
Ireland,Ballinacurra,,,51.897048,-8.150477,Munster,Ireland,Cork,Cork,"https://maps.google.com/?daddr=51.897048,-8.150477",https://twitter.com/ballinacurragaa,18,1312,245,https://www.oneills.com/media/catalog/category/ballinacurra-gaels_1.png
Ireland,Ballinacurra Gaels,,,52.644096,-8.636507,Munster,Ireland,Limerick,Limerick,"https://maps.google.com/?daddr=52.644096,-8.636507",https://twitter.com/ballinacurrag,7,1099.3,259,https://www.oneills.com/media/catalog/category/lough-lene-gaels_1.jpg
Ireland,Ballinagar,,,53.267336,-7.332201,Leinster,Ireland,Offaly,Offaly,"https://maps.google.com/?daddr=53.267336,-7.332201",,77,884.2,249,https://www.oneills.com/media/catalog/category/ballinagar-gaa_1.png
Ireland,Ballinagh GAA,Ballinagh GAA Grounds,,53.930673,-7.412008,Ulster,Ireland,Cavan,Cavan,"https://maps.google.com/?daddr=53.930673,-7.412008",https://twitter.com/Ballinagh,68,997.4326923,293,https://www.oneills.com/media/catalog/category/ballinagh-gaa_1.png
Ireland,Ballinaglera GAA,,,54.159626,-8.01436,Connacht,Ireland,Leitrim,Leitrim,"https://maps.google.com/?daddr=54.159626,-8.01436",https://twitter.com/glera_gaa,58,1327.6,287,
Ireland,Ballinagore,,,53.414424,-7.447255,Leinster,Ireland,Westmeath,Westmeath,"https://maps.google.com/?daddr=53.414424,-7.447255",,85,935.5,261,https://www.oneills.com/media/catalog/category/ballinagore-gaa-74_1_1.png
Ireland,Ballinahinch,,,52.790298,-8.314469,Munster,Ireland,Tipperary,Tipperary,"https://maps.google.com/?daddr=52.790298,-8.314469",https://twitter.com/ballinahinchgaa,70,1143.9,261,https://www.oneills.com/media/catalog/category/Ballinahinch-GAA.png
Ireland,Ballinakill,,,52.880695,-7.308334,Leinster,Ireland,Laois,Laois,"https://maps.google.com/?daddr=52.880695,-7.308334",https://twitter.com/ballinakill_gaa,154,875.4,257,https://www.oneills.com/media/catalog/category/BallinakillGAA-Banner.png
Ireland,Ballinameela,,,52.102388,-7.779881,Munster,Ireland,Waterford,Waterford,"https://maps.google.com/?daddr=52.102388,-7.779881",https://twitter.com/Ballinameela,15,1272,249,https://www.oneills.com/media/catalog/category/BALLINAMEELA-ICON.png
Ireland,Ballinameen GAA,,,53.907983,-8.302795,Connacht,Ireland,Roscommon,Roscommon,"https://maps.google.com/?daddr=53.907983,-8.302795",https://twitter.com/Ballinameen_GAA,81,1114.6,272,https://www.oneills.com/media/catalog/category/Ballinameen-GAA-Club-ICON.png
Ireland,Ballinamere,,,53.292378,-7.564262,Leinster,Ireland,Offaly,Offaly,"https://maps.google.com/?daddr=53.292378,-7.564262",https://twitter.com/ballinameregaa,61,931.3,260,https://www.oneills.com/media/catalog/category/Ballinamere-Durrow-LGFA-Banner.png
